"key","en","ja"
"label.unspent_points_warning","You have unspent points. There is no advantage in keeping points unspent. It is recommended to assign them all to unlockable blessings (some blessings can have two points).","未使用のポイントがあります。ポイントを未使用のままにしておくメリットはありません。解放可能な祝福に全て割り振ることをお勧めします（祝福によっては2ポイント割り振れるものもあります）。"
"label.utilities","Utilities","ユーティリティ"
"label.wall_0","Cloud Wall","雲の壁"
"label.wall_1","Solar Wall","太陽の壁"
"label.wall_2","Cosmic Wall","宇宙の壁"
"label.wall_explanation","Break the wall above to ascend the tower.","上の壁を破壊し、タワーを昇格させましょう。"
"label.wall_health_bar","Wall has {value} health remaining","壁の残り耐久値: {value}"
"nation.arcanis_nation.name","Arcanis","アルカニス"
"nation.arcanis_nation.description","Nation with a respected university

- Relations bonus: Increases Academy EXP gain by {percent_increase}%","名高い大学を有する国家

- 関係ボーナス: アカデミーEXP獲得量が{percent_increase}%増加"
"nation.axel_nation.name","Axel","アクセル"
"nation.axel_nation.description","Kingdom of adventurers and vast plains

- Relations bonus: Unlock new Knowledge-based upgrades for Sorcery and Dragon Nest.","冒険者と広大な平原の王国

- 関係ボーナス: ソーサリーとドラゴンネストに、知識ベースの新たなアップグレードを解放。"
"nation.ceha_nation.name","Ceha","セハ"
"nation.ceha_nation.description","Land of volcanoes 

- Relations bonus: Dragon Keepers provide {percent_increase}% more Dragon EXP","火山の地

- 関係ボーナス: ドラゴンの番人がもたらすドラゴンEXPが{percent_increase}%増加"
"nation.chronara_nation.name","Chronara","クロナラ"
"nation.chronara_nation.description","Hidden nation that occasionally submerges

- Relations bonus: Every 2 seconds gain Trade Agreements equal to your diplomat population.","時折水中に沈む隠された国家

- 関係ボーナス: 2秒ごとに、外交官の人口と同数の貿易協定を獲得。"
"nation.fel_nation.name","Fel","フェル"
"nation.fel_nation.description","Nation known for ancient magic

- Relations bonus: Increases Academy EXP gain by {percent_increase}%","古代魔法で知られる国家

- 関係ボーナス: アカデミーEXP獲得量が{percent_increase}%増加"
"nation.istesha_nation.name","Istesha","イステシャ"
"nation.istesha_nation.description","Nation of dragons

- Relations bonus: Instantly gain {amount} dragon ability points","ドラゴンの国

- 関係ボーナス: ドラゴンアビリティポイントを即座に{amount}ポイント獲得"
"nation.janand_nation.name","Janand","ジャナンド"
"nation.janand_nation.description","Nation of prisoners and exiles

- Relations bonus: Increases all unit damage by {percent_increase}%","囚人と追放者の国

- 関係ボーナス: 全ユニットのダメージが{percent_increase}%増加"
"nation.lapis_nation.name","Lapis","ラピス"
"nation.lapis_nation.description","Nation with stone pillars and buttes

- Relations bonus: Instantly gain {amount} Cognite.","石柱と岩山が連なる国家

- 関係ボーナス: 即座に{amount}個のコグナイトを獲得。"
"nation.lilon_nation.name","Lilon","リロン"
"nation.lilon_nation.description","Nation of wind and coasts

- Relations bonus: Increases Cloudling {magic_icon} gain by {percent_increase}%","風と海岸の国

- 関係ボーナス: クラウドリングの{magic_icon}獲得量が{percent_increase}%増加"
"nation.luscana_nation.name","Luscana","ルスカナ"
"nation.luscana_nation.description","Nation of the jewelry

- Relations bonus: Instantly gain {amount} Mana Stones.","宝飾の国

- 関係ボーナス: マナストーンを即座に{amount}個獲得。"
"nation.maristella_nation.name","Maristella","マリステラ"
"nation.maristella_nation.description","Nation of trade and seafaring.

- Relations bonus: Increases {knowledge_icon} gain by {percent_increase}%","貿易と航海の国。

- 関係ボーナス: {knowledge_icon}の獲得量が{percent_increase}%増加"
"nation.netus_nation.name","Netus","ネトゥス"
"nation.netus_nation.description","Nation of crafters

- Relations bonus: Unlocks new Knowledge-based upgrades for the forest and academy","職人の国

- 関係ボーナス: 林業とアカデミーに、知識ベースの新たなアップグレードを解放"
"nation.odantis_nation.name","Odantis","オダンティス"
"nation.odantis_nation.description","Nation of long winters

- Relations bonus: Increases {knowledge_icon} gain by {percent_increase}%","長い冬の国

- 関係ボーナス: {knowledge_icon}の獲得量が{percent_increase}%増加"
"nation.peace_land_nation.name","Peace Land","ピースランド"
"nation.peace_land_nation.description","Nation of small humans and spirits

- Relations bonus: Instantly gain {amount} {spirit_icon}.","小人と精霊の国

- 関係ボーナス: 即座に{amount}の{spirit_icon}を獲得。"
"nation.prismara_nation.name","Prismara","プリズマラ"
"nation.prismara_nation.description","Nation of the crystal and sea

- Relations bonus: Increases {magic_gold_icon} production speed by {percent_increase}%","水晶と海の国

- 関係ボーナス: {magic_gold_icon}の生産速度が{percent_increase}%増加"
"nation.starting_nation.name","Your Nation","あなたの国"
"nation.starting_nation.description","This is your domain. Once you have enough {trade_agreement_icon}, click on a neighboring nation to establish relations.","ここはあなたの領地です。{trade_agreement_icon}が十分に溜まったら、隣国をクリックして国交を樹立しましょう。"
"nation.tedora_nation.name","Tedora","テドラ"
"nation.tedora_nation.description","Nation of Ancient Forests

- Relations bonus: Increases {wood_icon} gain by {percent_increase}%","古代の森の国

- 関係ボーナス: {wood_icon}の獲得量が{percent_increase}%増加"
"nation.tempestus_nation.name","Tempestus","テンペスタス"
"nation.tempestus_nation.description","Nation of mountains and storms

- Relations bonus: Increases Cloudling {magic_icon} gain by {percent_increase}%","山と嵐の国

- 関係ボーナス: クラウドリングの{magic_icon}獲得量が{percent_increase}%増加"
"nation.tenebris_nation.name","Tenebris","テネブリス"
"nation.tenebris_nation.description","Nation of vast caves

- Relations bonus: Increases {magic_gold_icon} production speed by {percent_increase}%","広大な洞窟の国

- 関係ボーナス: {magic_gold_icon}の生産速度が{percent_increase}%増加"
"nation.verdania_nation.name","Verdania","ヴェルダニア"
"nation.verdania_nation.description","Nation of vast forests

- Relations bonus: Increases {wood_icon} gain by {percent_increase}%","広大な森林の国

- 関係ボーナス: {wood_icon}の獲得量が{percent_increase}%増加"
"nation.wedol_nation.name","Wedol","ウェドル"
"nation.wedol_nation.description","Empire of the rainforest

- Relations bonus: Instantly gain {amount} totems.","熱帯雨林の帝国

- 関係ボーナス: 即座に{amount}個のトーテムを獲得。"
"nation.xara_nation.name","Xara","ザラ"
"nation.xara_nation.description","Nation of the desert and stone

- Relations bonus: Instantly gain {amount} Dragonite.","砂漠と石の国

- 関係ボーナス: 即座に{amount}個のドラゴナイトを獲得。"
"relic.cognite","Cognite","コグナイト"
"relic.cognite.tooltip","Each Cognite increases {knowledge_icon} gain by {percent_increase}%","コグナイト1つにつき、{knowledge_icon}の獲得量が{percent_increase}%増加します"
"relic.dragonite","Dragonite","ドラゴナイト"
"relic.dragonite.tooltip","Each Dragonite increases Dragon EXP gain by {percent_increase}%","ドラゴナイト1つにつき、ドラゴンEXPの獲得量が{percent_increase}%増加します"
"relic.holy_grail","Holy Grail","聖杯"
"relic.holy_grail.tooltip","Each Holy Grail increases {magic_icon} gain by {magic_increase}% and Dragon EXP gain by {dragon_exp_increase}%","聖杯1つにつき、{magic_icon}の獲得量が{magic_increase}%、ドラゴンEXPの獲得量が{dragon_exp_increase}%増加します"
"relic.magic_gold","Magic Gold","マジックゴールド"
"relic.magic_gold.tooltip","Each Magic Gold increases {magic_icon} gain by {percent_increase}%","マジックゴールド1つにつき、{magic_icon}の獲得量が{percent_increase}%増加します"
"relic.mana_stone","Mana Stone","マナストーン"
"relic.mana_stone.tooltip","Each Mana Stone increases {magic_icon} gain by {percent_increase}%","マナストーン1つにつき、{magic_icon}の獲得量が{percent_increase}%増加します"
"relic.ouroboros","Ouroboros","ウロボロス"
"relic.ouroboros.tooltip","Each Ouroboros increases {knowledge_icon} gain by {knowledge_increase}% and Dragon EXP gain by {dragon_exp_increase}%","ウロボロス1つにつき、{knowledge_icon}の獲得量が{knowledge_increase}%、ドラゴンEXPの獲得量が{dragon_exp_increase}%増加します"
"relic.philosopher_stone","Philosopher's Stone","賢者の石"
"relic.philosopher_stone.tooltip","Each Philosopher's Stone increases {knowledge_icon} gain by {knowledge_increase}% and {magic_icon} gain by {magic_increase}%","賢者の石1つにつき、{knowledge_icon}の獲得量が{knowledge_increase}%、{magic_icon}の獲得量が{magic_increase}%増加します"
"resource.blank_rune","Blank Rune","空のルーン"
"resource.blank_rune_description","Created by Runesmiths","ルーンスミスにより生成"
"resource.building_points","Building Points","建物ポイント"
"resource.building_points_description","Every Tower Ascension grants a fixed amount.","タワーが昇格するたびに一定量を獲得。"
"resource.cognite","Cognite","コグナイト"
"resource.cosmic_analysis","Cosmic Analysis","宇宙分析"
"resource.cosmic_analysis_description","Bought at The Observatory","天文台で購入"
"resource.cosmic_dust","Cosmic Dust","コズミックダスト"
"resource.cosmic_dust_description","Generated at the Temple from Cosmic Wall Damage","寺院にて、宇宙の壁へのダメージにより生成"
"resource.dragon_ability_points","Dragon Ability Points","ドラゴンアビリティポイント"
"resource.dragon_ability_points_description","Gained from the leveling up the Dragon","ドラゴンのレベルアップで獲得"
"resource.dragonite","Dragonite","ドラゴナイト"
"resource.holy_grail","Holy Grail","聖杯"
"resource.knowledge","Knowledge","知識"
"resource.knowledge_description","Created by Spirit Tomes","スピリット・トームにより生成"
"resource.magic","Magic","魔力"
"resource.magic_description","Created by Cloudlings","クラウドリングにより生成"
"resource.magic_gold","Magic Gold","マジックゴールド"
"resource.magic_gold_description","Created by Alchemists","錬金術師により生成"
"resource.mana_stone","Mana Stone","マナストーン"
"resource.ouroboros","Ouroboros","ウロボロス"
"resource.philosopher_stone","Philosopher's Stone","賢者の石"
"resource.spirits","Spirits","スピリット"
"resource.spirits_description","Purchased at The Orb","オーブで購入"
"resource.totems","Totems","トーテム"
"resource.totems_description","Purchased at The Forestry Portal","林業ポータルで購入"
"resource.trade_agreements","Trade Agreements","貿易協定"
"resource.trade_agreements_description","Created by Diplomats","外交官により生成"
"resource.wood","Wood","木材"
"resource.wood_description","Harvested by Druids","ドルイドにより伐採"
"skill.alchemy_lab","Alchemy Lab","錬金術ラボ"
"skill.alchemy_lab.tooltip","Increase the experience gain for {training} by {percent_increase}%","{training}の経験値獲得量が{percent_increase}%増加します"
"skill.analyze_cursed","Cursed Wall Analysis","呪いの壁の分析"
"skill.analyze_cursed.tooltip","Increase the base damage of Curses by {percent_increase}%","「呪い」の基礎ダメージが{percent_increase}%増加します"
"skill.analyze_molten","Molten Wall Analysis","溶融の壁の分析"
"skill.analyze_molten.tooltip","Increase the amount of Molten applied by {percent_increase}%","「溶融」の付与量が{percent_increase}%増加します"
"skill.analyze_resonance","Shattering Wall Analysis","粉砕の壁の分析"
"skill.analyze_resonance.tooltip","Increase the amount of Shatter applied by {percent_increase}%","「粉砕」の付与量が{percent_increase}%増加します"
"skill.analyze_wall","Analyze Wall","壁の分析"
"skill.analyze_wall.tooltip","Analyze the Cosmic Wall, unlocking the set of resources required to break the wall.

- The requirements will be displayed in The Orb.","宇宙の壁を分析し、破壊に必要なリソースを解放しましょう。

- 要件はオーブに表示されます。"
"skill.analyze_weakened","Weakened Wall Analysis","弱体化の壁の分析"
"skill.analyze_weakened.tooltip","Increase the amount of Weakened applied by {percent_increase}%","「弱体化」の付与量が{percent_increase}%増加します"
"skill.bigger_forest","Bigger Forest","森林拡大"
"skill.bigger_forest_2","Druid Power","ドルイドパワー"
"skill.bigger_forest_2.tooltip","Increase {wood_icon} gain by {percent_increase}%","{wood_icon}の獲得量が{percent_increase}%増加します"
"skill.bigger_forest.tooltip","Increases the forest size.

- Increase the amount of {wood_icon} each log provides by {percent_increase}%","森林の面積を拡大します。

- 丸太1本から得られる{wood_icon}の量が{percent_increase}%増加します"
"skill.build_academy","Build Academy","アカデミー建設"
"skill.build_academy.tooltip","Build an Academy for magic education","魔法教育のためのアカデミーを建設する"
"skill.build_book_house","Build Book House","書見の家を建てる"
"skill.build_book_house.tooltip","Book Houses collectively increase {knowledge_icon} gain by a compounding {percent_increase}%","書見の家は、合計で{knowledge_icon}の獲得量を{percent_increase}%の複利で増加させます"
"skill.build_dragon_nest","Build Dragon Nest","ドラゴンネスト建設"
"skill.build_dragon_nest.tooltip","Build a dragon nest to hatch a dragon","ドラゴンネストを建設し、ドラゴンを孵化させましょう"
"skill.build_embassy","Build Embassy","大使館建設"
"skill.build_embassy.tooltip","Build an embassy to gain international relations","大使館を建設し、国際関係を築きましょう"
"skill.build_house","Build Spirit House","スピリットハウスを建てる"
"skill.build_house.tooltip","Spirit Houses collectively increase {magic_icon} gain by a compounding {percent_increase}%

- Every Tower Ascension grants a fixed amount of {building_points_icon}","スピリットハウスは、合計で{magic_icon}の獲得量を{percent_increase}%の複利で増加させます

- タワーが昇格するたびに一定量の{building_points_icon}を獲得します"
"skill.build_tree_house","Build Tree House","ツリーハウスを建てる"
"skill.build_tree_house.tooltip","Tree Houses collectively increase {wood_icon} gain by a compounding {percent_increase}%","ツリーハウスは、合計で{wood_icon}の獲得量を{percent_increase}%の複利で増加させます"
"skill.carve_crafting_totem","Crafting Totem","製作のトーテム"
"skill.carve_crafting_totem.tooltip","Each Totem increases {blank_rune_icon} and {magic_gold_icon} creation progress by {percent_increase}%

- Current bonus: {total}%","トーテム1つにつき、{blank_rune_icon}と{magic_gold_icon}の生成進行度が{percent_increase}%増加します。

- 現在のボーナス: {total}%"
"skill.carve_forest_totem","Forest Totem","森のトーテム"
"skill.carve_forest_totem.tooltip","Each Totem increases {wood_icon} gain by {percent_increase}%

- Current bonus: {total}%

- Also creates {amount} {spirit_icon}","トーテム1つにつき、{wood_icon}の獲得量が{percent_increase}%増加します

- 現在のボーナス: {total}%

- さらに、{amount}体の{spirit_icon}を生成します"
"skill.carve_knowledge_totem","Knowledge Totem","知識のトーテム"
"skill.carve_knowledge_totem.tooltip","Each Totem increases {knowledge_icon} gain by {percent_increase}%

- Current bonus: {total}%","トーテム1つにつき、{knowledge_icon}の獲得量が{percent_increase}%増加します。

- 現在のボーナス: {total}%"
"skill.carve_magic_totem","Magic Totem","魔力のトーテム"
"skill.carve_magic_totem.tooltip","Each Totem increases {magic_icon} gain by {percent_increase}%

- Current bonus: {total}%","トーテム1つにつき、{magic_icon}の獲得量が{percent_increase}%増加します。

- 現在のボーナス: {total}%"
"skill.carve_sage_totem","Sage Totem","賢者のトーテム"
"skill.carve_sage_totem.tooltip","Each Totem increases Academy EXP gain by a compounding {percent_increase}%

- Current bonus: {total}%","トーテム1つにつき、アカデミーEXPの獲得量が{percent_increase}%の複利で増加します。

- 現在のボーナス: {total}%"
"skill.cloud_resonance","Cloud Resonance","クラウドレゾナンス"
"skill.cloud_resonance.tooltip","Every time the Dragon breathes Magic, all Cloudlings will create one drop of Magic","ドラゴンがマジックブレスを吐くたびに、全てのクラウドリングが魔力の雫を1滴生成します"
"skill.cloudling_magic","Cloudling Magic","クラウドリング・マジック"
"skill.cloudling_potency","Cloudling Boost","クラウドリングブースト"
"skill.cloudling_potency.tooltip","Increase Cloudling {magic_icon} creation by {percent_increase}%","クラウドリングの{magic_icon}生成量が{percent_increase}%増加します"
"skill.combat_magic","Combat Magic","戦闘魔術"
"skill.combat_magic.tooltip","Increase all damage by {percent_increase}%","全てのダメージが{percent_increase}%増加します"
"skill.craft_totem","Craft Totem","トーテム製作"
"skill.craft_totem.tooltip","Craft {totem_icon}. Totems can be carved into different types and placed on the totem pole for various bonuses.","{totem_icon}を製作します。トーテムは様々な種類に彫刻し、トーテムポールに設置することで多様なボーナスを得られます。"
"skill.create_cosmic_analysis","Cosmic Analysis","宇宙分析の作成"
"skill.create_cosmic_analysis.tooltip","Creates 1 Cosmic Analysis to be spent on analysis upgrades.","分析アップグレードに使える宇宙分析を1つ作成します。"
"skill.dragon_alphabet","Dragon Alphabet","ドラゴン・アルファベット"
"skill.dragon_alphabet.tooltip","Increase the experience gain for {training} by {percent_increase}%","{training}の経験値獲得量が{percent_increase}%増加します"
"skill.dragon_wisdom","Dragon Knowledge","ドラゴンの知識"
"skill.dragon_wisdom.tooltip","Increase Dragon Keeper EXP gain by {percent_increase}%","ドラゴンキーパーのEXP獲得量が{percent_increase}%増加します"
"skill.enchant_frost","Frost Wall Enchantment","フロストウォール・エンチャント"
"skill.enchant_frost.tooltip","Each stack of Frost increases {wood_icon} gain by {percent_increase}%

- Also increases {cosmic_dust_icon} creation speed by {cosmic_percent_increase}%","「フロスト」のスタックごとに{wood_icon}の獲得量が{percent_increase}%増加します

- さらに、{cosmic_dust_icon}の生成速度が{cosmic_percent_increase}%増加します"
"skill.enchant_molten","Molten Wall Enchantment","溶融ウォール・エンチャント"
"skill.enchant_molten.tooltip","Each stack of Molten increases Dragon EXP gain by {percent_increase}%

- Also increases the speed of {cosmic_dust_icon} creation by {cosmic_percent_increase}%","「溶融」のスタックごとにドラゴンEXPの獲得量が{percent_increase}%増加します

- さらに、{cosmic_dust_icon}の生成速度が{cosmic_percent_increase}%増加します"
"skill.enchant_shatter","Shatter Wall Enchantment","粉砕ウォール・エンチャント"
"skill.enchant_shatter.tooltip","Each stack of Shatter increases {blank_rune_icon} creation speed by {percent_increase}%

- Also increases {cosmic_dust_icon} creation speed by {cosmic_percent_increase}%","「粉砕」のスタックごとに{blank_rune_icon}の生成速度が{percent_increase}%増加します

- さらに、{cosmic_dust_icon}の生成速度が{cosmic_percent_increase}%増加します"
"skill.herbology_textbooks","Forestry Notebooks","林業ノート"
"skill.herbology_textbooks.tooltip","Increase the experience gain for {training} by {percent_increase}%","{training}の経験値獲得量が{percent_increase}%増加します"
"skill.improved_facilities","Improved Academy","アカデミーの改良"
"skill.improved_facilities_2","Great University","偉大な大学"
"skill.improved_facilities_2.tooltip","Increase the experience gain for all research subjects in the Academy by {percent_increase}%","アカデミーの全研究教科の経験値獲得量が{percent_increase}%増加します"
"skill.improved_facilities.tooltip","Increase the experience gain for all research subjects in the Academy by {percent_increase}%","アカデミーの全研究教科の経験値獲得量が{percent_increase}%増加します"
"skill.infinity_rune_upgrade","Infinity Rune","インフィニティルーン"
"skill.infinity_rune_upgrade.tooltip","Increase all base damage by {percent_increase}%","全ての基礎ダメージが{percent_increase}%増加します"
"skill.library_spirits","Library Spirits","書庫のスピリット"
"skill.library_spirits.tooltip","Creates {amount} {spirit_icon} from the study","書斎から{amount}体の{spirit_icon}を生成します"
"skill.magic_textbooks","Improved Wands","改良された杖"
"skill.magic_textbooks.tooltip","Increase the experience gain for {training} by {percent_increase}%","{training}の経験値獲得量が{percent_increase}%増加します"
"skill.rune_mastery","Rune Mastery","ルーンマスタリー"
"skill.rune_mastery.tooltip","Increase {blank_rune_icon} creation speed by {percent_increase}%","{blank_rune_icon}の生成速度が{percent_increase}%増加します"
"skill.summon_alchemist","Summon Alchemist","錬金術師召喚"
"skill.summon_alchemist.tooltip","Helps create {magic_gold_icon}.

- Unlocks new Academy upgrades

- Hold the button or press shift to buy multiple.","{magic_gold_icon}の生成を手伝います。

- アカデミーの新たなアップグレードを解放します。

- ボタン長押し、またはShiftキーを押しながらクリックで複数購入できます。"
"skill.summon_astrologer","Summon Astrologer","占星術師召喚"
"skill.summon_astrologer.tooltip","Builds the Observatory

- The Astrologer will observe the Cosmic Wall, finding weaknesses and the way to possibly break it.","天文台を建設します。

- 占星術師は宇宙の壁を観測し、その弱点と破壊する方法を探ります。"
"skill.summon_cloudling","Summon Cloudling","クラウドリング召喚"
"skill.summon_cloudling.tooltip","Summon a Cloudling that creates {magic_icon}

- {press_and_hold} the orb to speed them up by {speed_up_increase}%","{magic_icon}を生成するクラウドリングを召喚します

- オーブを{press_and_hold}すると、速度が{speed_up_increase}%上昇します"
"skill.summon_diplomat","Summon Diplomat","外交官召喚"
"skill.summon_diplomat.tooltip","Summons a diplomat that creates {trade_agreement_icon}.

- {press_and_hold} the Embassy to speed them up by {speed_up_increase}%

- Can be refunded for {spirit_icon} when the map is complete.","{trade_agreement_icon}を生成する外交官を召喚します。

- 大使館を{press_and_hold}すると、速度が{speed_up_increase}%上昇します。

- マップが完成すると、{spirit_icon}と引き換えに払い戻しができます。"
"skill.summon_dragon_keeper","Dragon Keeper","ドラゴンの番人"
"skill.summon_dragon_keeper.tooltip","Summon a Dragon Keeper to help level up the Dragon

- {press_and_hold} the Dragon nest to speed them up by {speed_up_increase}%","ドラゴンの番人を召喚し、ドラゴンのレベルアップを手伝わせましょう

- ドラゴンネストを{press_and_hold}すると、速度が{speed_up_increase}%上昇します"
"skill.summon_dragon_queen","Summon Dragon Queen","ドラゴンクイーン召喚"
"skill.summon_dragon_queen.tooltip","The Dragon Queen will level up the Dragon equal to {percent}% of all Dragon Keepers combined.

- The Dragon Queen will also double any Dragon Fireball into two.","ドラゴンクイーンは、全ドラゴンの番人の合計の{percent}%に相当する経験値をドラゴンに与えます。

- さらに、ドラゴンクイーンはドラゴン・ファイアボールを2発に倍増させます。"
"skill.summon_druid","Summon Druid","ドルイド召喚"
"skill.summon_druid.tooltip","Druids maintain the forest and harvest {wood_icon}.

- {press_and_hold} the forest to speed them up by {speed_up_increase}%","ドルイドは森を維持し、{wood_icon}を伐採します。

- 森を{press_and_hold}すると、速度が{speed_up_increase}%上昇します"
"skill.summon_forest_keeper","Summon Forest Keeper","森の番人召喚"
"skill.summon_forest_keeper.tooltip","The Forest Keeper will enhance logs increasing their {wood_icon} value by {percent_increase}%

- The Forest Keeper will also increase the speed of {cosmic_dust_icon} creation by {exp_percent_increase}%","森の番人は丸太を強化し、その{wood_icon}価値を{percent_increase}%増加させます

- さらに、森の番人は{cosmic_dust_icon}の生成速度を{exp_percent_increase}%増加させます"
"skill.summon_gorgon","Summon Gorgon","ゴルゴン召喚"
"skill.summon_gorgon.tooltip","Deals {base_damage} base damage to the wall.

- Base damage increases by {damage_increase} for each Ouroboros you have.","壁に{base_damage}の基礎ダメージを与えます。

- 所有するウロボロス1つにつき、基礎ダメージが{damage_increase}増加します。"
"skill.summon_ifrit","Summon Ifrit","イフリート召喚"
"skill.summon_ifrit.tooltip","Deals {base_damage} base damage to the wall.

- Base damage increases by {additional_damage} every 10 Dragon's Fireball ability levels.","壁に{base_damage}の基礎ダメージを与えます。

- ドラゴン・ファイアボールのアビリティレベルが10上がるごとに、基礎ダメージが{additional_damage}増加します。"
"skill.summon_rune_smith","Summon Rune Smith","ルーンスミス召喚"
"skill.summon_rune_smith.tooltip","Summon a Rune Smith to create {blank_rune_icon}

- {press_and_hold} the Obelisk/Anvil to speed them up by {speed_up_increase}%","ルーンスミスを召喚し、{blank_rune_icon}を生成させます

- オベリスク/金床を{press_and_hold}すると、速度が{speed_up_increase}%上昇します"
"skill.summon_shaman","Summon Shaman","シャーマン召喚"
"skill.summon_shaman.tooltip","Deals {base_damage} base damage to the wall multiplied by the count of the Totem Type with most Totems.","最も多く設置されている種類のトーテム数に応じて、壁に{base_damage}xトーテム数の基礎ダメージを与えます。"
"skill.summon_smith_master","Summon Smith Master","スミスマスター召喚"
"skill.summon_smith_master.tooltip","The Smith Master will help forge {blank_rune_icon} with strikes equal to all Rune Smiths combined.

- The Smith Master will also increase {magic_gold_icon} production speed by {alchemy_percent_increase}%","スミスマスターは、全ルーンスミスの合計に等しい力で{blank_rune_icon}の鍛造を手伝います。

- さらに、スミスマスターは{magic_gold_icon}の生産速度を{alchemy_percent_increase}%増加させます"
"skill.summon_spirit","Summon Spirit","スピリット召喚"
"skill.summon_spirit_sage","Summon Spirit Sage","スピリットセージ召喚"
"skill.summon_spirit_sage.tooltip","Summon a Spirit Sage to research various subjects

- {press_and_hold} the Academy to speed them up by {speed_up_increase}%","スピリットセージを召喚し、様々な教科を研究させましょう

- アカデミーを{press_and_hold}すると、速度が{speed_up_increase}%上昇します"
"skill.summon_spirit_tome","Summon Spirit Tome","スピリット・トーム召喚"
"skill.summon_spirit_tome.tooltip","Summon a Spirit Tome that creates {knowledge_icon}

- {press_and_hold} the study room to speed them up by {speed_up_increase}%","{knowledge_icon}を生成するスピリット・トームを召喚します

- 書斎を{press_and_hold}すると、速度が{speed_up_increase}%上昇します"
"skill.summon_spirit.tooltip","Summon {spirit_icon} that can be used to summon other beings

- Hold the button or press shift to buy multiple","他の存在を召喚するために使用できる{spirit_icon}を召喚します

- ボタン長押し、またはShiftキーを押しながらクリックで複数購入できます"
"skill.summon_tome_master","Summon Tome Master","トームマスター召喚"
"skill.summon_tome_master.tooltip","The Tome Master will absorb all created {knowledge_icon} and amplify it by {percent_increase}%

- If you have no new prestige points, the Tome Master will also increase the damage prestige progress bar by {prestige_percent_increase}% every pulse.","トームマスターは生成された全ての{knowledge_icon}を吸収し、それを{percent_increase}%増幅させます。

- 新たなプレステージポイントがない場合、トームマスターは波動ごとにダメージプレステージの進行バーを{prestige_percent_increase}%増加させます。"
"skill.summon_zephyr","Summon Zephyr","ゼファー召喚"
"skill.summon_zephyr.tooltip","Weakens the wall, increasing damage dealt to the wall.

- Applies {base_stacks} stacks of weakness to the wall plus {additional_stacks} stack for every Spirit Type with a population at least {summon_threshold}.","壁を弱体化させ、壁への被ダメージを増加させます。

- 壁に{base_stacks}スタックの「弱体化」を付与し、さらに個体数が{summon_threshold}以上のスピリットタイプごとに{additional_stacks}スタックを追加します。"
"skill.text_enchantment","Text Enchantment","テキストエンチャント"
"skill.text_enchantment.tooltip","Increase {knowledge_icon} gain by {percent_increase}%","{knowledge_icon}の獲得量が{percent_increase}%増加します"
"skill.unlock_alchemy_101","Alchemy Research","錬金術研究"
"skill.unlock_alchemy_101.tooltip","{training} helps Alchemists create {magic_gold_icon} faster","{training}は錬金術師がより速く{magic_gold_icon}を生成するのを助けます"
"skill.unlock_dragon_bond","Unlock Dragon Research","ドラゴン研究解放"
"skill.unlock_dragon_bond.tooltip","{training} helps Dragon Keepers provide more EXP to the Dragon","{training}はドラゴンの番人がより多くのEXPをドラゴンに与えるのを助けます"
"skill.unlock_herbology","Unlock Forest Research","森林研究解放"
"skill.unlock_herbology.tooltip","{training} helps Druids grow more {wood_icon}","{training}はドルイドがより多くの{wood_icon}を育てるのを助けます"
"skill.unlock_magic_101","Unlock Magic Research","魔術研究解放"
"skill.unlock_magic_101.tooltip","{training} helps Spirits produce more {magic_icon}","{training}はスピリットがより多くの{magic_icon}を生成するのを助けます"
"skill.upgrade_dragon_queen","Upgrade Dragon Queen","ドラゴンクイーンのアップグレード"
"skill.upgrade_dragon_queen.tooltip","Increase the Dragon EXP the Dragon Queen provides by a compounding {percent_increase}%","ドラゴンクイーンが与えるドラゴンEXPを{percent_increase}%の複利で増加させます"
"skill.upgrade_forest_keeper","Upgrade Forest Keeper","森の番人のアップグレード"
"skill.upgrade_forest_keeper.tooltip","Increase {wood_icon} gain by a compounding {percent_increase}%

- Also increases {cosmic_dust_icon} creation speed by a compounding {exp_percent_increase}%","{wood_icon}の獲得量が{percent_increase}%の複利で増加します

- さらに、{cosmic_dust_icon}の生成速度も{exp_percent_increase}%の複利で増加します"
"skill.upgrade_smith_master","Upgrade Smith Master","スミスマスターのアップグレード"
"skill.upgrade_smith_master.tooltip","Increase the Smith's hammer power by a compounding {percent_increase}%

- Also increases {magic_gold_icon} production speed by compounding {alchemy_percent_increase}%","スミスのハンマーの威力が{percent_increase}%の複利で増加します

- さらに、{magic_gold_icon}の生産速度も{alchemy_percent_increase}%の複利で増加します"
"skill.upgrade_tome_master","Upgrade Tome Master","トームマスターのアップグレード"
"skill.upgrade_tome_master.tooltip","Increase the amplification of {knowledge_icon} absorbed by the Tome Master by a compounding {percent_increase}%","トームマスターが吸収する{knowledge_icon}の増幅率を{percent_increase}%の複利で増加させます"
"skill.wizard_magic","Wizard Magic","ウィザードマジック"
"skill.wizard_magic.tooltip","Increases {magic_icon} gained by pressing The Orb by {percent_increase}%","オーブを押すことで得られる{magic_icon}が{percent_increase}%増加します"
"status_effect.cursed.name","Cursed","呪い"
"status_effect.cursed.description","When 100 stacks are reached, deals damage to the wall equal to {mult} times the damage of all Shamans combined.","スタックが100に達すると、全シャーマンの合計ダメージの{mult}倍に等しいダメージを壁に与えます。"
"status_effect.frost.name","Frost","フロスト"
